name,seed,agents_num,teams_num,teams_size,agents_connection_probability,teams_connection_probability,agents_average_initial_opinion,technology_success_rate
0_0_1_3_1,383329927,300,30,10,0.16626666666666667,0.1724137931034483,-1.0,0.1
0_0_1_3_2,383329927,450,30,15,0.10688571428571428,0.1724137931034483,-1.0,0.1
0_0_1_3_3,383329927,600,30,20,0.0787578947368421,0.1724137931034483,-1.0,0.1
0_0_2_0_0,383329927,5,1,5,0.3741,0.0,-1.0,0.2
0_0_2_0_1,383329927,10,1,10,0.16626666666666667,0.0,-1.0,0.2
0_0_2_0_2,383329927,15,1,15,0.10688571428571428,0.0,-1.0,0.2
0_0_2_0_3,383329927,20,1,20,0.0787578947368421,0.0,-1.0,0.2
0_0_2_1_0,383329927,50,10,5,0.3741,0.5555555555555556,-1.0,0.2
0_0_2_1_1,383329927,100,10,10,0.16626666666666667,0.5555555555555556,-1.0,0.2
0_0_2_1_2,383329927,150,10,15,0.10688571428571428,0.5555555555555556,-1.0,0.2
0_0_2_1_3,383329927,200,10,20,0.0787578947368421,0.5555555555555556,-1.0,0.2
0_0_2_2_0,383329927,100,20,5,0.3741,0.2631578947368421,-1.0,0.2
0_0_2_2_1,383329927,200,20,10,0.16626666666666667,0.2631578947368421,-1.0,0.2
0_0_2_2_2,383329927,300,20,15,0.10688571428571428,0.2631578947368421,-1.0,0.2
0_0_2_2_3,383329927,400,20,20,0.0787578947368421,0.2631578947368421,-1.0,0.2
0_0_2_3_0,383329927,150,30,5,0.3741,0.1724137931034483,-1.0,0.2
0_0_2_3_1,383329927,300,30,10,0.16626666666666667,0.1724137931034483,-1.0,0.2
0_0_2_3_2,383329927,450,30,15,0.10688571428571428,0.1724137931034483,-1.0,0.2
0_0_2_3_3,383329927,600,30,20,0.0787578947368421,0.1724137931034483,-1.0,0.2
0_0_3_0_0,383329927,5,1,5,0.3741,0.0,-1.0,0.3
0_0_3_0_1,383329927,10,1,10,0.16626666666666667,0.0,-1.0,0.3
0_0_3_0_2,383329927,15,1,15,0.10688571428571428,0.0,-1.0,0.3
0_0_3_0_3,383329927,20,1,20,0.0787578947368421,0.0,-1.0,0.3
0_0_3_1_0,383329927,50,10,5,0.3741,0.5555555555555556,-1.0,0.3
0_0_3_1_1,383329927,100,10,10,0.16626666666666667,0.5555555555555556,-1.0,0.3
0_0_3_1_2,383329927,150,10,15,0.10688571428571428,0.5555555555555556,-1.0,0.3
0_0_3_1_3,383329927,200,10,20,0.0787578947368421,0.5555555555555556,-1.0,0.3
0_0_3_2_0,383329927,100,20,5,0.3741,0.2631578947368421,-1.0,0.3
0_0_3_2_1,383329927,200,20,10,0.16626666666666667,0.2631578947368421,-1.0,0.3
0_0_3_2_2,383329927,300,20,15,0.10688571428571428,0.2631578947368421,-1.0,0.3
0_0_3_2_3,383329927,400,20,20,0.0787578947368421,0.2631578947368421,-1.0,0.3
0_0_3_3_0,383329927,150,30,5,0.3741,0.1724137931034483,-1.0,0.3
0_0_3_3_1,383329927,300,30,10,0.16626666666666667,0.1724137931034483,-1.0,0.3
0_0_3_3_2,383329927,450,30,15,0.10688571428571428,0.1724137931034483,-1.0,0.3
0_0_3_3_3,383329927,600,30,20,0.0787578947368421,0.1724137931034483,-1.0,0.3
0_0_4_0_0,383329927,5,1,5,0.3741,0.0,-1.0,0.4
0_0_4_0_1,383329927,10,1,10,0.16626666666666667,0.0,-1.0,0.4
0_0_4_0_2,383329927,15,1,15,0.10688571428571428,0.0,-1.0,0.4
0_0_4_0_3,383329927,20,1,20,0.0787578947368421,0.0,-1.0,0.4
0_0_4_1_0,383329927,50,10,5,0.3741,0.5555555555555556,-1.0,0.4
0_0_4_1_1,383329927,100,10,10,0.16626666666666667,0.5555555555555556,-1.0,0.4
0_0_4_1_2,383329927,150,10,15,0.10688571428571428,0.5555555555555556,-1.0,0.4
0_0_4_1_3,383329927,200,10,20,0.0787578947368421,0.5555555555555556,-1.0,0.4
0_0_4_2_0,383329927,100,20,5,0.3741,0.2631578947368421,-1.0,0.4
0_0_4_2_1,383329927,200,20,10,0.16626666666666667,0.2631578947368421,-1.0,0.4
0_0_4_2_2,383329927,300,20,15,0.10688571428571428,0.2631578947368421,-1.0,0.4
0_0_4_2_3,383329927,400,20,20,0.0787578947368421,0.2631578947368421,-1.0,0.4
0_0_4_3_0,383329927,150,30,5,0.3741,0.1724137931034483,-1.0,0.4
0_0_4_3_1,383329927,300,30,10,0.16626666666666667,0.1724137931034483,-1.0,0.4
0_0_4_3_2,383329927,450,30,15,0.10688571428571428,0.1724137931034483,-1.0,0.4
0_0_4_3_3,383329927,600,30,20,0.0787578947368421,0.1724137931034483,-1.0,0.4
0_0_5_0_0,383329927,5,1,5,0.3741,0.0,-1.0,0.5
0_0_5_0_1,383329927,10,1,10,0.16626666666666667,0.0,-1.0,0.5
0_0_5_0_2,383329927,15,1,15,0.10688571428571428,0.0,-1.0,0.5
0_0_5_0_3,383329927,20,1,20,0.0787578947368421,0.0,-1.0,0.5
0_0_5_1_0,383329927,50,10,5,0.3741,0.5555555555555556,-1.0,0.5
0_0_5_1_1,383329927,100,10,10,0.16626666666666667,0.5555555555555556,-1.0,0.5
0_0_5_1_2,383329927,150,10,15,0.10688571428571428,0.5555555555555556,-1.0,0.5
0_0_5_1_3,383329927,200,10,20,0.0787578947368421,0.5555555555555556,-1.0,0.5
0_0_5_2_0,383329927,100,20,5,0.3741,0.2631578947368421,-1.0,0.5
0_0_5_2_1,383329927,200,20,10,0.16626666666666667,0.2631578947368421,-1.0,0.5
0_0_5_2_2,383329927,300,20,15,0.10688571428571428,0.2631578947368421,-1.0,0.5
0_0_5_2_3,383329927,400,20,20,0.0787578947368421,0.2631578947368421,-1.0,0.5
0_0_5_3_0,383329927,150,30,5,0.3741,0.1724137931034483,-1.0,0.5
0_0_5_3_1,383329927,300,30,10,0.16626666666666667,0.1724137931034483,-1.0,0.5
0_0_5_3_2,383329927,450,30,15,0.10688571428571428,0.1724137931034483,-1.0,0.5
0_0_5_3_3,383329927,600,30,20,0.0787578947368421,0.1724137931034483,-1.0,0.5
0_0_6_0_0,383329927,5,1,5,0.3741,0.0,-1.0,0.6
0_0_6_0_1,383329927,10,1,10,0.16626666666666667,0.0,-1.0,0.6
0_0_6_0_2,383329927,15,1,15,0.10688571428571428,0.0,-1.0,0.6
0_0_6_0_3,383329927,20,1,20,0.0787578947368421,0.0,-1.0,0.6
0_0_6_1_0,383329927,50,10,5,0.3741,0.5555555555555556,-1.0,0.6
0_0_6_1_1,383329927,100,10,10,0.16626666666666667,0.5555555555555556,-1.0,0.6
0_0_6_1_2,383329927,150,10,15,0.10688571428571428,0.5555555555555556,-1.0,0.6
0_0_6_1_3,383329927,200,10,20,0.0787578947368421,0.5555555555555556,-1.0,0.6
0_0_6_2_0,383329927,100,20,5,0.3741,0.2631578947368421,-1.0,0.6
0_0_6_2_1,383329927,200,20,10,0.16626666666666667,0.2631578947368421,-1.0,0.6
0_0_6_2_2,383329927,300,20,15,0.10688571428571428,0.2631578947368421,-1.0,0.6
0_0_6_2_3,383329927,400,20,20,0.0787578947368421,0.2631578947368421,-1.0,0.6
0_0_6_3_0,383329927,150,30,5,0.3741,0.1724137931034483,-1.0,0.6
0_0_6_3_1,383329927,300,30,10,0.16626666666666667,0.1724137931034483,-1.0,0.6
0_0_6_3_2,383329927,450,30,15,0.10688571428571428,0.1724137931034483,-1.0,0.6
0_0_6_3_3,383329927,600,30,20,0.0787578947368421,0.1724137931034483,-1.0,0.6
0_0_7_0_0,383329927,5,1,5,0.3741,0.0,-1.0,0.7
0_0_7_0_1,383329927,10,1,10,0.16626666666666667,0.0,-1.0,0.7
0_0_7_0_2,383329927,15,1,15,0.10688571428571428,0.0,-1.0,0.7
0_0_7_0_3,383329927,20,1,20,0.0787578947368421,0.0,-1.0,0.7
0_0_7_1_0,383329927,50,10,5,0.3741,0.5555555555555556,-1.0,0.7
0_0_7_1_1,383329927,100,10,10,0.16626666666666667,0.5555555555555556,-1.0,0.7
0_0_7_1_2,383329927,150,10,15,0.10688571428571428,0.5555555555555556,-1.0,0.7
0_0_7_1_3,383329927,200,10,20,0.0787578947368421,0.5555555555555556,-1.0,0.7
0_0_7_2_0,383329927,100,20,5,0.3741,0.2631578947368421,-1.0,0.7
0_0_7_2_1,383329927,200,20,10,0.16626666666666667,0.2631578947368421,-1.0,0.7
0_0_7_2_2,383329927,300,20,15,0.10688571428571428,0.2631578947368421,-1.0,0.7
0_0_7_2_3,383329927,400,20,20,0.0787578947368421,0.2631578947368421,-1.0,0.7
0_0_7_3_0,383329927,150,30,5,0.3741,0.1724137931034483,-1.0,0.7
0_0_7_3_1,383329927,300,30,10,0.16626666666666667,0.1724137931034483,-1.0,0.7
0_0_7_3_2,383329927,450,30,15,0.10688571428571428,0.1724137931034483,-1.0,0.7
0_0_7_3_3,383329927,600,30,20,0.0787578947368421,0.1724137931034483,-1.0,0.7
0_0_8_0_0,383329927,5,1,5,0.3741,0.0,-1.0,0.8
0_0_8_0_1,383329927,10,1,10,0.16626666666666667,0.0,-1.0,0.8
0_0_8_0_2,383329927,15,1,15,0.10688571428571428,0.0,-1.0,0.8
0_0_8_0_3,383329927,20,1,20,0.0787578947368421,0.0,-1.0,0.8
0_0_8_1_0,383329927,50,10,5,0.3741,0.5555555555555556,-1.0,0.8
0_0_8_1_1,383329927,100,10,10,0.16626666666666667,0.5555555555555556,-1.0,0.8
0_0_8_1_2,383329927,150,10,15,0.10688571428571428,0.5555555555555556,-1.0,0.8
0_0_8_1_3,383329927,200,10,20,0.0787578947368421,0.5555555555555556,-1.0,0.8
0_0_8_2_0,383329927,100,20,5,0.3741,0.2631578947368421,-1.0,0.8
0_0_8_2_1,383329927,200,20,10,0.16626666666666667,0.2631578947368421,-1.0,0.8
0_0_8_2_2,383329927,300,20,15,0.10688571428571428,0.2631578947368421,-1.0,0.8
0_0_8_2_3,383329927,400,20,20,0.0787578947368421,0.2631578947368421,-1.0,0.8
0_0_8_3_0,383329927,150,30,5,0.3741,0.1724137931034483,-1.0,0.8
0_0_8_3_1,383329927,300,30,10,0.16626666666666667,0.1724137931034483,-1.0,0.8
0_0_8_3_2,383329927,450,30,15,0.10688571428571428,0.1724137931034483,-1.0,0.8
0_0_8_3_3,383329927,600,30,20,0.0787578947368421,0.1724137931034483,-1.0,0.8
0_0_9_0_0,383329927,5,1,5,0.3741,0.0,-1.0,0.9
0_0_9_0_1,383329927,10,1,10,0.16626666666666667,0.0,-1.0,0.9
0_0_9_0_2,383329927,15,1,15,0.10688571428571428,0.0,-1.0,0.9
0_0_9_0_3,383329927,20,1,20,0.0787578947368421,0.0,-1.0,0.9
0_0_9_1_0,383329927,50,10,5,0.3741,0.5555555555555556,-1.0,0.9
0_0_9_1_1,383329927,100,10,10,0.16626666666666667,0.5555555555555556,-1.0,0.9
0_0_9_1_2,383329927,150,10,15,0.10688571428571428,0.5555555555555556,-1.0,0.9
0_0_9_1_3,383329927,200,10,20,0.0787578947368421,0.5555555555555556,-1.0,0.9
0_0_9_2_0,383329927,100,20,5,0.3741,0.2631578947368421,-1.0,0.9
0_0_9_2_1,383329927,200,20,10,0.16626666666666667,0.2631578947368421,-1.0,0.9
0_0_9_2_2,383329927,300,20,15,0.10688571428571428,0.2631578947368421,-1.0,0.9
0_0_9_2_3,383329927,400,20,20,0.0787578947368421,0.2631578947368421,-1.0,0.9
0_0_9_3_0,383329927,150,30,5,0.3741,0.1724137931034483,-1.0,0.9
0_0_9_3_1,383329927,300,30,10,0.16626666666666667,0.1724137931034483,-1.0,0.9
0_0_9_3_2,383329927,450,30,15,0.10688571428571428,0.1724137931034483,-1.0,0.9
0_0_9_3_3,383329927,600,30,20,0.0787578947368421,0.1724137931034483,-1.0,0.9
0_0_10_0_0,383329927,5,1,5,0.3741,0.0,-1.0,1.0
0_0_10_0_1,383329927,10,1,10,0.16626666666666667,0.0,-1.0,1.0
0_0_10_0_2,383329927,15,1,15,0.10688571428571428,0.0,-1.0,1.0
0_0_10_0_3,383329927,20,1,20,0.0787578947368421,0.0,-1.0,1.0
0_0_10_1_0,383329927,50,10,5,0.3741,0.5555555555555556,-1.0,1.0
0_0_10_1_1,383329927,100,10,10,0.16626666666666667,0.5555555555555556,-1.0,1.0
0_0_10_1_2,383329927,150,10,15,0.10688571428571428,0.5555555555555556,-1.0,1.0
0_0_10_1_3,383329927,200,10,20,0.0787578947368421,0.5555555555555556,-1.0,1.0
0_0_10_2_0,383329927,100,20,5,0.3741,0.2631578947368421,-1.0,1.0
0_0_10_2_1,383329927,200,20,10,0.16626666666666667,0.2631578947368421,-1.0,1.0
0_0_10_2_2,383329927,300,20,15,0.10688571428571428,0.2631578947368421,-1.0,1.0
0_0_10_2_3,383329927,400,20,20,0.0787578947368421,0.2631578947368421,-1.0,1.0
0_0_10_3_0,383329927,150,30,5,0.3741,0.1724137931034483,-1.0,1.0
0_0_10_3_1,383329927,300,30,10,0.16626666666666667,0.1724137931034483,-1.0,1.0
0_0_10_3_2,383329927,450,30,15,0.10688571428571428,0.1724137931034483,-1.0,1.0
0_0_10_3_3,383329927,600,30,20,0.0787578947368421,0.1724137931034483,-1.0,1.0
0_1_0_0_0,383329927,5,1,5,0.3741,0.0,-0.9,0.0
0_1_0_0_1,383329927,10,1,10,0.16626666666666667,0.0,-0.9,0.0
0_1_0_0_2,383329927,15,1,15,0.10688571428571428,0.0,-0.9,0.0
0_1_0_0_3,383329927,20,1,20,0.0787578947368421,0.0,-0.9,0.0
0_1_0_1_0,383329927,50,10,5,0.3741,0.5555555555555556,-0.9,0.0
0_1_0_1_1,383329927,100,10,10,0.16626666666666667,0.5555555555555556,-0.9,0.0
0_1_0_1_2,383329927,150,10,15,0.10688571428571428,0.5555555555555556,-0.9,0.0
0_1_0_1_3,383329927,200,10,20,0.0787578947368421,0.5555555555555556,-0.9,0.0
0_1_0_2_0,383329927,100,20,5,0.3741,0.2631578947368421,-0.9,0.0
0_1_0_2_1,383329927,200,20,10,0.16626666666666667,0.2631578947368421,-0.9,0.0
0_1_0_2_2,383329927,300,20,15,0.10688571428571428,0.2631578947368421,-0.9,0.0
0_1_0_2_3,383329927,400,20,20,0.0787578947368421,0.2631578947368421,-0.9,0.0
0_1_0_3_0,383329927,150,30,5,0.3741,0.1724137931034483,-0.9,0.0
0_1_0_3_1,383329927,300,30,10,0.16626666666666667,0.1724137931034483,-0.9,0.0
0_1_0_3_2,383329927,450,30,15,0.10688571428571428,0.1724137931034483,-0.9,0.0
0_1_0_3_3,383329927,600,30,20,0.0787578947368421,0.1724137931034483,-0.9,0.0
0_1_1_0_0,383329927,5,1,5,0.3741,0.0,-0.9,0.1
0_1_1_0_1,383329927,10,1,10,0.16626666666666667,0.0,-0.9,0.1
0_1_1_0_2,383329927,15,1,15,0.10688571428571428,0.0,-0.9,0.1
0_1_1_0_3,383329927,20,1,20,0.0787578947368421,0.0,-0.9,0.1
0_1_1_1_0,383329927,50,10,5,0.3741,0.5555555555555556,-0.9,0.1
0_1_1_1_1,383329927,100,10,10,0.16626666666666667,0.5555555555555556,-0.9,0.1
0_1_1_1_2,383329927,150,10,15,0.10688571428571428,0.5555555555555556,-0.9,0.1
0_1_1_1_3,383329927,200,10,20,0.0787578947368421,0.5555555555555556,-0.9,0.1
0_1_1_2_0,383329927,100,20,5,0.3741,0.2631578947368421,-0.9,0.1
0_1_1_2_1,383329927,200,20,10,0.16626666666666667,0.2631578947368421,-0.9,0.1
0_1_1_2_2,383329927,300,20,15,0.10688571428571428,0.2631578947368421,-0.9,0.1
0_1_1_2_3,383329927,400,20,20,0.0787578947368421,0.2631578947368421,-0.9,0.1
0_1_1_3_0,383329927,150,30,5,0.3741,0.1724137931034483,-0.9,0.1
0_1_1_3_1,383329927,300,30,10,0.16626666666666667,0.1724137931034483,-0.9,0.1
0_1_1_3_2,383329927,450,30,15,0.10688571428571428,0.1724137931034483,-0.9,0.1
0_1_1_3_3,383329927,600,30,20,0.0787578947368421,0.1724137931034483,-0.9,0.1
0_1_2_0_0,383329927,5,1,5,0.3741,0.0,-0.9,0.2
0_1_2_0_1,383329927,10,1,10,0.16626666666666667,0.0,-0.9,0.2
0_1_2_0_2,383329927,15,1,15,0.10688571428571428,0.0,-0.9,0.2
0_1_2_0_3,383329927,20,1,20,0.0787578947368421,0.0,-0.9,0.2
0_1_2_1_0,383329927,50,10,5,0.3741,0.5555555555555556,-0.9,0.2
0_1_2_1_1,383329927,100,10,10,0.16626666666666667,0.5555555555555556,-0.9,0.2
0_1_2_1_2,383329927,150,10,15,0.10688571428571428,0.5555555555555556,-0.9,0.2
0_1_2_1_3,383329927,200,10,20,0.0787578947368421,0.5555555555555556,-0.9,0.2
0_1_2_2_0,383329927,100,20,5,0.3741,0.2631578947368421,-0.9,0.2
0_1_2_2_1,383329927,200,20,10,0.16626666666666667,0.2631578947368421,-0.9,0.2
0_1_2_2_2,383329927,300,20,15,0.10688571428571428,0.2631578947368421,-0.9,0.2
0_1_2_2_3,383329927,400,20,20,0.0787578947368421,0.2631578947368421,-0.9,0.2
0_1_2_3_0,383329927,150,30,5,0.3741,0.1724137931034483,-0.9,0.2
0_1_2_3_1,383329927,300,30,10,0.16626666666666667,0.1724137931034483,-0.9,0.2
0_1_2_3_2,383329927,450,30,15,0.10688571428571428,0.1724137931034483,-0.9,0.2
0_1_2_3_3,383329927,600,30,20,0.0787578947368421,0.1724137931034483,-0.9,0.2
0_1_3_0_0,383329927,5,1,5,0.3741,0.0,-0.9,0.3
0_1_3_0_1,383329927,10,1,10,0.16626666666666667,0.0,-0.9,0.3
0_1_3_0_2,383329927,15,1,15,0.10688571428571428,0.0,-0.9,0.3
0_1_3_0_3,383329927,20,1,20,0.0787578947368421,0.0,-0.9,0.3
0_1_3_1_0,383329927,50,10,5,0.3741,0.5555555555555556,-0.9,0.3
0_1_3_1_1,383329927,100,10,10,0.16626666666666667,0.5555555555555556,-0.9,0.3
0_1_3_1_2,383329927,150,10,15,0.10688571428571428,0.5555555555555556,-0.9,0.3
0_1_3_1_3,383329927,200,10,20,0.0787578947368421,0.5555555555555556,-0.9,0.3
0_1_3_2_0,383329927,100,20,5,0.3741,0.2631578947368421,-0.9,0.3
0_1_3_2_1,383329927,200,20,10,0.16626666666666667,0.2631578947368421,-0.9,0.3
0_1_3_2_2,383329927,300,20,15,0.10688571428571428,0.2631578947368421,-0.9,0.3
0_1_3_2_3,383329927,400,20,20,0.0787578947368421,0.2631578947368421,-0.9,0.3
0_1_3_3_0,383329927,150,30,5,0.3741,0.1724137931034483,-0.9,0.3
0_1_3_3_1,383329927,300,30,10,0.16626666666666667,0.1724137931034483,-0.9,0.3
0_1_3_3_2,383329927,450,30,15,0.10688571428571428,0.1724137931034483,-0.9,0.3
0_1_3_3_3,383329927,600,30,20,0.0787578947368421,0.1724137931034483,-0.9,0.3
0_1_4_0_0,383329927,5,1,5,0.3741,0.0,-0.9,0.4
0_1_4_0_1,383329927,10,1,10,0.16626666666666667,0.0,-0.9,0.4
0_1_4_0_2,383329927,15,1,15,0.10688571428571428,0.0,-0.9,0.4
0_1_4_0_3,383329927,20,1,20,0.0787578947368421,0.0,-0.9,0.4
0_1_4_1_0,383329927,50,10,5,0.3741,0.5555555555555556,-0.9,0.4
0_1_4_1_1,383329927,100,10,10,0.16626666666666667,0.5555555555555556,-0.9,0.4
0_1_4_1_2,383329927,150,10,15,0.10688571428571428,0.5555555555555556,-0.9,0.4
0_1_4_1_3,383329927,200,10,20,0.0787578947368421,0.5555555555555556,-0.9,0.4
0_1_4_2_0,383329927,100,20,5,0.3741,0.2631578947368421,-0.9,0.4
0_1_4_2_1,383329927,200,20,10,0.16626666666666667,0.2631578947368421,-0.9,0.4
0_1_4_2_2,383329927,300,20,15,0.10688571428571428,0.2631578947368421,-0.9,0.4
0_1_4_2_3,383329927,400,20,20,0.0787578947368421,0.2631578947368421,-0.9,0.4
0_1_4_3_0,383329927,150,30,5,0.3741,0.1724137931034483,-0.9,0.4
0_1_4_3_1,383329927,300,30,10,0.16626666666666667,0.1724137931034483,-0.9,0.4
0_1_4_3_2,383329927,450,30,15,0.10688571428571428,0.1724137931034483,-0.9,0.4
0_1_4_3_3,383329927,600,30,20,0.0787578947368421,0.1724137931034483,-0.9,0.4
0_1_5_0_0,383329927,5,1,5,0.3741,0.0,-0.9,0.5
0_1_5_0_1,383329927,10,1,10,0.16626666666666667,0.0,-0.9,0.5
0_1_5_0_2,383329927,15,1,15,0.10688571428571428,0.0,-0.9,0.5
0_1_5_0_3,383329927,20,1,20,0.0787578947368421,0.0,-0.9,0.5
0_1_5_1_0,383329927,50,10,5,0.3741,0.5555555555555556,-0.9,0.5
0_1_5_1_1,383329927,100,10,10,0.16626666666666667,0.5555555555555556,-0.9,0.5
0_1_5_1_2,383329927,150,10,15,0.10688571428571428,0.5555555555555556,-0.9,0.5
0_1_5_1_3,383329927,200,10,20,0.0787578947368421,0.5555555555555556,-0.9,0.5
0_1_5_2_0,383329927,100,20,5,0.3741,0.2631578947368421,-0.9,0.5
0_1_5_2_1,383329927,200,20,10,0.16626666666666667,0.2631578947368421,-0.9,0.5
0_1_5_2_2,383329927,300,20,15,0.10688571428571428,0.2631578947368421,-0.9,0.5
0_1_5_2_3,383329927,400,20,20,0.0787578947368421,0.2631578947368421,-0.9,0.5
0_1_5_3_0,383329927,150,30,5,0.3741,0.1724137931034483,-0.9,0.5
0_1_5_3_1,383329927,300,30,10,0.16626666666666667,0.1724137931034483,-0.9,0.5
0_1_5_3_2,383329927,450,30,15,0.10688571428571428,0.1724137931034483,-0.9,0.5
0_1_5_3_3,383329927,600,30,20,0.0787578947368421,0.1724137931034483,-0.9,0.5
0_1_6_0_0,383329927,5,1,5,0.3741,0.0,-0.9,0.6
0_1_6_0_1,383329927,10,1,10,0.16626666666666667,0.0,-0.9,0.6
0_1_6_0_2,383329927,15,1,15,0.10688571428571428,0.0,-0.9,0.6
0_1_6_0_3,383329927,20,1,20,0.0787578947368421,0.0,-0.9,0.6
0_1_6_1_0,383329927,50,10,5,0.3741,0.5555555555555556,-0.9,0.6
0_1_6_1_1,383329927,100,10,10,0.16626666666666667,0.5555555555555556,-0.9,0.6
0_1_6_1_2,383329927,150,10,15,0.10688571428571428,0.5555555555555556,-0.9,0.6
0_1_6_1_3,383329927,200,10,20,0.0787578947368421,0.5555555555555556,-0.9,0.6
0_1_6_2_0,383329927,100,20,5,0.3741,0.2631578947368421,-0.9,0.6
0_1_6_2_1,383329927,200,20,10,0.16626666666666667,0.2631578947368421,-0.9,0.6
0_1_6_2_2,383329927,300,20,15,0.10688571428571428,0.2631578947368421,-0.9,0.6
0_1_6_2_3,383329927,400,20,20,0.0787578947368421,0.2631578947368421,-0.9,0.6
0_1_6_3_0,383329927,150,30,5,0.3741,0.1724137931034483,-0.9,0.6
0_1_6_3_1,383329927,300,30,10,0.16626666666666667,0.1724137931034483,-0.9,0.6
0_1_6_3_2,383329927,450,30,15,0.10688571428571428,0.1724137931034483,-0.9,0.6
0_1_6_3_3,383329927,600,30,20,0.0787578947368421,0.1724137931034483,-0.9,0.6
0_1_7_0_0,383329927,5,1,5,0.3741,0.0,-0.9,0.7
0_1_7_0_1,383329927,10,1,10,0.16626666666666667,0.0,-0.9,0.7
0_1_7_0_2,383329927,15,1,15,0.10688571428571428,0.0,-0.9,0.7
0_1_7_0_3,383329927,20,1,20,0.0787578947368421,0.0,-0.9,0.7
0_1_7_1_0,383329927,50,10,5,0.3741,0.5555555555555556,-0.9,0.7
0_1_7_1_1,383329927,100,10,10,0.16626666666666667,0.5555555555555556,-0.9,0.7
0_1_7_1_2,383329927,150,10,15,0.10688571428571428,0.5555555555555556,-0.9,0.7
0_1_7_1_3,383329927,200,10,20,0.0787578947368421,0.5555555555555556,-0.9,0.7
0_1_7_2_0,383329927,100,20,5,0.3741,0.2631578947368421,-0.9,0.7
0_1_7_2_1,383329927,200,20,10,0.16626666666666667,0.2631578947368421,-0.9,0.7
0_1_7_2_2,383329927,300,20,15,0.10688571428571428,0.2631578947368421,-0.9,0.7
0_1_7_2_3,383329927,400,20,20,0.0787578947368421,0.2631578947368421,-0.9,0.7
0_1_7_3_0,383329927,150,30,5,0.3741,0.1724137931034483,-0.9,0.7
0_1_7_3_1,383329927,300,30,10,0.16626666666666667,0.1724137931034483,-0.9,0.7
0_1_7_3_2,383329927,450,30,15,0.10688571428571428,0.1724137931034483,-0.9,0.7
0_1_7_3_3,383329927,600,30,20,0.0787578947368421,0.1724137931034483,-0.9,0.7
0_1_8_0_0,383329927,5,1,5,0.3741,0.0,-0.9,0.8
0_1_8_0_1,383329927,10,1,10,0.16626666666666667,0.0,-0.9,0.8
0_1_8_0_2,383329927,15,1,15,0.10688571428571428,0.0,-0.9,0.8
0_1_8_0_3,383329927,20,1,20,0.0787578947368421,0.0,-0.9,0.8
0_1_8_1_0,383329927,50,10,5,0.3741,0.5555555555555556,-0.9,0.8
0_1_8_1_1,383329927,100,10,10,0.16626666666666667,0.5555555555555556,-0.9,0.8
