model_name,steady_S,steady_Q,steady_L,steady_B
0_0_6_2_2,0.0,0.0,0.0,1.0
0_0_6_2_3,0.0,0.0,0.0,1.0
0_0_6_3_0,0.0,0.0,0.0,1.0
0_0_6_3_1,0.0,0.0,0.0,1.0
0_0_6_3_2,0.0,0.0,0.0,1.0
0_0_6_3_3,0.0,0.0,0.0,1.0
0_0_7_0_0,0.0,0.0,0.0,1.0
0_0_7_0_1,0.0,0.0,0.0,1.0
0_0_7_0_2,0.0,0.0,0.0,1.0
0_0_7_0_3,0.0,0.0,0.0,1.0
0_0_7_1_0,0.0,0.0,0.0,1.0
0_0_7_1_1,0.0,0.0,0.0,1.0
0_0_7_1_2,0.0,0.0,0.0,1.0
0_0_7_1_3,0.0,0.0,0.0,1.0
0_0_7_2_0,0.0,0.0,0.0,1.0
0_0_7_2_1,0.0,0.0,0.0,1.0
0_0_7_2_2,0.0,0.0,0.0,1.0
0_0_7_2_3,0.0,0.0,0.0,1.0
0_0_7_3_0,0.0,0.0,0.0,1.0
0_0_7_3_1,0.0,0.0,0.0,1.0
0_0_7_3_2,0.0,0.0,0.0,1.0
0_0_7_3_3,0.0,0.0,0.0,1.0
0_0_8_0_0,0.0,0.0,0.0,1.0
0_0_8_0_1,0.0,0.0,0.0,1.0
0_0_8_0_2,0.0,0.0,0.0,1.0
0_0_8_0_3,0.0,0.0,0.0,1.0
0_0_8_1_0,0.0,0.0,0.0,1.0
0_0_8_1_1,0.0,0.0,0.0,1.0
0_0_8_1_2,0.0,0.0,0.0,1.0
0_0_8_1_3,0.0,0.0,0.0,1.0
0_0_8_2_0,0.0,0.0,0.0,1.0
0_0_8_2_1,0.0,0.0,0.0,1.0
0_0_8_2_2,0.0,0.0,0.0,1.0
0_0_8_2_3,0.0,0.0,0.0,1.0
0_0_8_3_0,0.0,0.0,0.0,1.0
0_0_8_3_1,0.0,0.0,0.0,1.0
0_0_8_3_2,0.0,0.0,0.0,1.0
0_0_8_3_3,0.0,0.0,0.0,1.0
0_0_9_0_0,0.0,0.0,0.0,1.0
0_0_9_0_1,0.0,0.0,0.0,1.0
0_0_9_0_2,0.0,0.0,0.0,1.0
0_0_9_0_3,0.0,0.0,0.0,1.0
0_0_9_1_0,0.0,0.0,0.0,1.0
0_0_9_1_1,0.0,0.0,0.0,1.0
0_0_9_1_2,0.0,0.0,0.0,1.0
0_0_9_1_3,0.0,0.0,0.0,1.0
0_0_9_2_0,0.0,0.0,0.0,1.0
0_0_9_2_1,0.0,0.0,0.0,1.0
0_0_9_2_2,0.0,0.0,0.0,1.0
0_0_9_2_3,0.0,0.0,0.0,1.0
0_0_9_3_0,0.0,0.0,0.0,1.0
0_0_9_3_1,0.0,0.0,0.0,1.0
0_0_9_3_2,0.0,0.0,0.0,1.0
0_0_9_3_3,0.0,0.0,0.0,1.0
0_10_0_0_0,0.0,0.0,1.0,0.0
0_10_0_0_1,0.0,0.0,5.3832011153976094e-06,0.9999946167988847
0_10_0_0_2,0.0,0.0,1.0,0.0
0_10_0_0_3,0.00023291522467926373,0.00021775831580221432,0.0,0.9995493264595186
0_10_0_1_0,0.0,0.0,0.0,1.0
0_10_0_1_1,0.0,0.0,0.0,1.0
0_10_0_1_2,0.0,0.0,0.0,1.0
0_10_0_1_3,0.0,0.0,0.0,1.0
0_10_0_2_0,0.0,0.0,0.0,1.0
0_10_0_2_1,0.0,0.0,0.0,1.0
0_10_0_2_2,0.0,0.0,0.0,1.0
0_10_0_2_3,0.0,0.0,0.0,1.0
0_10_0_3_0,0.0,0.0,0.0,1.0
0_10_0_3_1,0.0,0.0,0.0,1.0
0_10_0_3_2,0.0,0.0,0.0,1.0
0_10_0_3_3,0.0,0.0,0.0,1.0
0_10_10_0_0,0.0,0.0,1.0,0.0
0_10_10_0_1,0.0011155038136089529,0.20132286377907757,0.5995163051377533,0.19804532726956015
0_10_10_0_2,0.0005802676505364086,0.12829647409147277,0.7400710561704763,0.13105220208751453
0_10_10_0_3,0.00795469641762318,0.05300533211792405,0.9026895523761218,0.036350419088330976
0_10_10_1_0,0.0010923209159208352,0.053917577774639396,0.7149777632548202,0.23001233805461954
0_10_10_1_1,0.0031389150379185094,0.08146348505819352,0.768109052861203,0.147288547042685
0_10_10_1_2,0.004086658405967738,0.09109955769213124,0.7624088551952717,0.1424049287066294
0_10_10_1_3,0.00479957660776022,0.11528376580317819,0.7021221067024945,0.17779455088656715
0_10_10_2_0,0.004779475483751444,0.11916765325485897,0.7408501220512757,0.13520274921011405
0_10_10_2_1,0.004651651168044726,0.11670623758358652,0.743204960499696,0.13543715074867285
0_10_10_2_2,0.007427621619179471,0.1564909991117222,0.7324939724581161,0.10358740681098227
0_10_10_2_3,0.006265569094209369,0.12379245223213534,0.7178852469207645,0.15205673175289086
0_10_10_3_0,0.001560757127661427,0.049681321733088014,0.7366645020886159,0.21209341905063483
0_10_10_3_1,0.0052153194709451175,0.11972898114075022,0.6643685479396046,0.21068715144870007
0_10_10_3_2,0.00646623610957259,0.10765052676363805,0.7381905545110221,0.14769268261576735
0_10_10_3_3,0.006249425416972954,0.11417883359260973,0.7746689686238811,0.10490277236653618
0_10_1_0_0,0.0,0.0,1.085755304595947e-06,0.9999989142446954
0_10_1_0_1,0.0,0.0,1.0,0.0
0_10_1_0_2,0.0,0.0,1.0,0.0
0_10_1_0_3,8.673757120196768e-05,7.279017463814265e-05,0.0,0.9998404722541598
0_10_1_1_0,0.0,0.0,0.0,1.0
0_10_1_1_1,0.0,0.0,0.0,1.0
0_10_1_1_2,0.0,0.0,0.0,1.0
0_10_1_1_3,0.0,0.0,0.0,1.0
0_10_1_2_0,0.0,0.0,0.0,1.0
0_10_1_2_1,0.0,0.0,0.0,1.0
0_10_1_2_2,0.0,0.0,0.0,1.0
0_10_1_2_3,0.0,0.0,0.0,1.0
0_10_1_3_0,0.0,0.0,0.0,1.0
0_10_1_3_1,0.0,0.0,0.0,1.0
0_10_1_3_2,0.0,0.0,0.0,1.0
0_10_1_3_3,0.0,0.0,0.0,1.0
0_10_2_0_0,0.0,0.0,1.085755304595947e-06,0.9999989142446954
0_10_2_0_1,0.0,0.0,1.0,0.0
0_10_2_0_2,0.0,0.0,1.0,0.0
0_10_2_0_3,0.0011343809647173574,0.0009802528377723205,0.0,0.9978853661975103
0_10_2_1_0,0.0009355527732552729,0.00017573089473925775,0.0,0.9988887163320055
0_10_2_1_1,0.0,0.0,0.0,1.0
0_10_2_1_2,0.0,0.0,0.0,1.0
0_10_2_1_3,0.0,0.0,0.0,1.0
0_10_2_2_0,0.0,0.0,0.0,1.0
0_10_2_2_1,0.0,0.0,0.0,1.0
0_10_2_2_2,0.0,0.0,0.0,1.0
0_10_2_2_3,0.0,0.0,0.0,1.0
0_10_2_3_0,0.0,0.0,0.0,1.0
0_10_2_3_1,0.0,0.0,0.0,1.0
0_10_2_3_2,0.0,0.0,0.0,1.0
0_10_2_3_3,0.0,0.0,0.0,1.0
0_10_3_0_0,0.0,0.0,5.650617517092584e-07,0.9999994349382483
0_10_3_0_1,0.0,0.0,1.0,0.0
0_10_3_0_2,0.0,0.0,1.0,0.0
0_10_3_0_3,0.00020449265198830448,6.77514448969332e-05,0.0,0.9997277559031148
0_10_3_1_0,0.0010221342444450756,0.0,0.0,0.998977865755555
0_10_3_1_1,0.0,0.0,0.0,1.0
0_10_3_1_2,0.0,0.0,0.0,1.0
0_10_3_1_3,0.0,0.0,0.0,1.0
0_10_3_2_0,0.0,0.0,0.0,1.0
0_10_3_2_1,0.0,0.0,0.0,1.0
0_10_3_2_2,0.0,0.0,0.0,1.0
0_10_3_2_3,0.0,0.0,0.0,1.0
0_10_3_3_0,0.0,0.0,0.0,1.0
0_10_3_3_1,0.0,0.0,0.0,1.0
0_10_3_3_2,0.0,0.0,0.0,1.0
0_10_3_3_3,0.0,0.0,0.0,1.0
0_10_4_0_0,0.0,0.0,5.650617517092584e-07,0.9999994349382483
0_10_4_0_1,0.0,0.0,1.0,0.0
0_10_4_0_2,0.0,0.0,1.0,0.0
0_10_4_0_3,0.0,0.0,0.0,1.0
0_10_4_1_0,0.0,0.0,0.0,1.0
0_10_4_1_1,0.0,0.0,0.0,1.0
0_10_4_1_2,0.0,0.0,0.0,1.0
0_10_4_1_3,0.0,0.0,0.0,1.0
0_10_4_2_0,0.0,0.0,0.0,1.0
0_10_4_2_1,0.0,0.0,0.0,1.0
0_10_4_2_2,0.0,0.0,0.0,1.0
0_10_4_2_3,0.0,0.0,0.0,1.0
0_10_4_3_0,0.0,0.0,0.0,1.0
0_10_4_3_1,0.0,0.0,0.0,1.0
0_10_4_3_2,0.0,0.0,0.0,1.0
0_10_4_3_3,0.0,0.0,0.0,1.0
0_10_5_0_0,0.0,0.0,1.0,0.0
0_10_5_0_1,0.0,0.0,1.0,0.0
0_10_5_0_2,0.0,0.0,1.0,0.0
0_10_5_0_3,0.005282198885154506,0.003204956297998955,0.0,0.9915128448168465
0_10_5_1_0,0.00030730143994616875,0.0,0.0,0.9996926985600539
0_10_5_1_1,0.0,0.0,0.0,1.0
0_10_5_1_2,0.0,0.0,0.0,1.0
0_10_5_1_3,0.0,0.0,0.0,1.0
0_10_5_2_0,0.0,0.0,0.0,1.0
0_10_5_2_1,0.0,0.0,0.0,1.0
0_10_5_2_2,0.0,0.0,0.0,1.0
0_10_5_2_3,0.0,0.0,0.0,1.0
0_10_5_3_0,0.0,0.0,0.0,1.0
0_10_5_3_1,0.0,0.0,0.0,1.0
0_10_5_3_2,0.0,0.0,0.0,1.0
0_10_5_3_3,0.0,0.0,0.0,1.0
0_10_6_0_0,0.0,0.0,1.0,0.0
